"source","year","team1","team2","team1_score","team2_score","game_date","winner"
"afrobasket",2019,"Angola","Egypt",68,66,"2019-08-16","Angola"
"afrobasket",2019,"Nigeria","Mali",79,58,"2019-08-16","Nigeria"
"afrobasket",2019,"Senegal","Mozambique",60,57,"2019-08-16","Senegal"
"afrobasket",2019,"Egypt","Cote d'Ivoire",62,58,"2019-08-17","Egypt"
"afrobasket",2019,"Angola","Dem.Rep. of Congo",68,48,"2019-08-17","Angola"
"afrobasket",2019,"Mali","Mozambique",66,54,"2019-08-18","Mali"
"afrobasket",2019,"Nigeria","Senegal",60,55,"2019-08-18","Nigeria"
"americaspreoqt",2019,"USA","Brazil",76,61,"2019-11-14","USA"
"americaspreoqt",2019,"Puerto Rico","Dominican Republic",108,58,"2019-11-14","Puerto Rico"
"americaspreoqt",2019,"Colombia","Argentina",67,63,"2019-11-14","Colombia"
"americaspreoqt",2019,"Canada","Cuba",110,53,"2019-11-14","Canada"
"americaspreoqt",2019,"Cuba","Dominican Republic",70,68,"2019-11-16","Cuba"
"americaspreoqt",2019,"Brazil","Colombia",61,33,"2019-11-16","Brazil"
"americaspreoqt",2019,"Canada","Puerto Rico",84,80,"2019-11-16","Canada"
"americaspreoqt",2019,"USA","Argentina",91,34,"2019-11-16","USA"
"americaspreoqt",2019,"Puerto Rico","Cuba",83,81,"2019-11-17","Puerto Rico"
"americaspreoqt",2019,"USA","Colombia",104,48,"2019-11-17","USA"
"americaspreoqt",2019,"Canada","Dominican Republic",110,60,"2019-11-17","Canada"
"americaspreoqt",2019,"Brazil","Argentina",77,55,"2019-11-17","Brazil"
"americup",2017,"Brazil","Venezuela",71,63,"2017-08-06","Brazil"
"americup",2017,"Puerto Rico","Mexico",69,49,"2017-08-06","Puerto Rico"
"americup",2017,"Canada","Cuba",81,35,"2017-08-06","Canada"
"americup",2017,"Argentina","US Virgin Islands",80,48,"2017-08-06","Argentina"
"americup",2017,"Paraguay","Cuba",69,66,"2017-08-07","Paraguay"
"americup",2017,"US Virgin Islands","Venezuela",79,53,"2017-08-07","US Virgin Islands"
"americup",2017,"Brazil","Colombia",68,47,"2017-08-07","Brazil"
"americup",2017,"Canada","Puerto Rico",75,59,"2017-08-07","Canada"
"americup",2017,"Colombia","US Virgin Islands",70,63,"2017-08-08","Colombia"
"americup",2017,"Canada","Mexico",65,39,"2017-08-08","Canada"
"americup",2017,"Puerto Rico","Paraguay",81,67,"2017-08-08","Puerto Rico"
"americup",2017,"Argentina","Venezuela",79,59,"2017-08-08","Argentina"
"americup",2017,"Paraguay","Mexico",73,67,"2017-08-09","Paraguay"
"americup",2017,"US Virgin Islands","Brazil",67,60,"2017-08-09","US Virgin Islands"
"americup",2017,"Puerto Rico","Cuba",70,67,"2017-08-09","Puerto Rico"
"americup",2017,"Argentina","Colombia",70,47,"2017-08-09","Argentina"
"americup",2017,"Canada","Paraguay",86,64,"2017-08-10","Canada"
"americup",2017,"Cuba","Mexico",62,51,"2017-08-10","Cuba"
"americup",2017,"Colombia","Venezuela",62,59,"2017-08-10","Colombia"
"americup",2017,"Argentina","Brazil",68,49,"2017-08-10","Argentina"
"americup",2017,"Canada","Brazil",84,45,"2017-08-12","Canada"
"americup",2017,"Argentina","Puerto Rico",48,44,"2017-08-12","Argentina"
"americup",2017,"Puerto Rico","Brazil",75,68,"2017-08-13","Puerto Rico"
"americup",2017,"Canada","Argentina",67,65,"2017-08-13","Canada"
"americup",2019,"Canada","Mexico",109,53,"2019-09-22","Canada"
"americup",2019,"USA","Paraguay",110,31,"2019-09-22","USA"
"americup",2019,"Brazil","Colombia",67,61,"2019-09-22","Brazil"
"americup",2019,"Puerto Rico","Cuba",80,55,"2019-09-22","Puerto Rico"
"americup",2019,"Dominican Republic","Mexico",67,52,"2019-09-23","Dominican Republic"
"americup",2019,"Colombia","Paraguay",74,51,"2019-09-23","Colombia"
"americup",2019,"Canada","Cuba",87,51,"2019-09-23","Canada"
"americup",2019,"Brazil","Argentina",76,49,"2019-09-23","Brazil"
"americup",2019,"USA","Colombia",88,46,"2019-09-24","USA"
"americup",2019,"Cuba","Dominican Republic",65,62,"2019-09-24","Cuba"
"americup",2019,"Argentina","Paraguay",74,54,"2019-09-24","Argentina"
"americup",2019,"Canada","Puerto Rico",78,50,"2019-09-24","Canada"
"americup",2019,"Cuba","Mexico",65,62,"2019-09-25","Cuba"
"americup",2019,"Brazil","Paraguay",101,59,"2019-09-25","Brazil"
"americup",2019,"USA","Argentina",100,50,"2019-09-25","USA"
"americup",2019,"Puerto Rico","Dominican Republic",81,56,"2019-09-25","Puerto Rico"
"americup",2019,"Colombia","Argentina",73,71,"2019-09-26","Colombia"
"americup",2019,"USA","Brazil",89,73,"2019-09-26","USA"
"americup",2019,"Canada","Dominican Republic",78,50,"2019-09-26","Canada"
"americup",2019,"Puerto Rico","Mexico",79,39,"2019-09-26","Puerto Rico"
"americup",2019,"Dominican Republic","Argentina",67,65,"2019-09-28","Dominican Republic"
"americup",2019,"Colombia","Cuba",75,62,"2019-09-28","Colombia"
"americup",2019,"Canada","Brazil",66,58,"2019-09-28","Canada"
"americup",2019,"USA","Puerto Rico",78,54,"2019-09-28","USA"
"americup",2019,"Brazil","Puerto Rico",95,66,"2019-09-29","Brazil"
"americup",2019,"USA","Canada",67,46,"2019-09-29","USA"
"americup",2021,"Colombia","US Virgin Islands",72,60,"2021-06-11","Colombia"
"americup",2021,"Brazil","El Salvador",118,43,"2021-06-11","Brazil"
"americup",2021,"Puerto Rico","Venezuela",88,50,"2021-06-11","Puerto Rico"
"americup",2021,"Canada","US Virgin Islands",101,41,"2021-06-12","Canada"
"americup",2021,"Brazil","Colombia",79,56,"2021-06-12","Brazil"
"americup",2021,"USA","Dominican Republic",102,39,"2021-06-12","USA"
"americup",2021,"Colombia","El Salvador",92,67,"2021-06-13","Colombia"
"americup",2021,"Canada","Brazil",71,67,"2021-06-13","Canada"
"americup",2021,"USA","Puerto Rico",87,65,"2021-06-13","USA"
"americup",2021,"Canada","El Salvador",98,41,"2021-06-14","Canada"
"americup",2021,"Brazil","US Virgin Islands",77,56,"2021-06-14","Brazil"
"americup",2021,"USA","Venezuela",102,53,"2021-06-14","USA"
"americup",2021,"Puerto Rico","Dominican Republic",79,54,"2021-06-14","Puerto Rico"
"americup",2021,"US Virgin Islands","El Salvador",85,44,"2021-06-15","US Virgin Islands"
"americup",2021,"Canada","Colombia",74,40,"2021-06-15","Canada"
"americup",2021,"Venezuela","Dominican Republic",77,66,"2021-06-15","Venezuela"
"americup",2021,"USA","US Virgin Islands",97,46,"2021-06-17","USA"
"americup",2021,"Canada","Dominican Republic",90,53,"2021-06-17","Canada"
"americup",2021,"Brazil","Venezuela",90,59,"2021-06-17","Brazil"
"americup",2021,"Puerto Rico","Colombia",77,69,"2021-06-17","Puerto Rico"
"americup",2021,"USA","Brazil",71,60,"2021-06-18","USA"
"americup",2021,"Brazil","Canada",87,82,"2021-06-19","Brazil"
"americup",2021,"USA","Puerto Rico",74,59,"2021-06-19","USA"
"asiacup",2017,"Australia","Korea",78,54,"2017-07-23","Australia"
"asiacup",2017,"Japan","Philippines",106,55,"2017-07-23","Japan"
"asiacup",2017,"Chinese Taipei","Korea",77,76,"2017-07-23","Chinese Taipei"
"asiacup",2017,"China","New Zealand",77,48,"2017-07-23","China"
"asiacup",2017,"Australia","Philippines",107,65,"2017-07-24","Australia"
"asiacup",2017,"New Zealand","Korea",71,50,"2017-07-24","New Zealand"
"asiacup",2017,"Japan","Korea",70,56,"2017-07-24","Japan"
"asiacup",2017,"China","Chinese Taipei",102,63,"2017-07-24","China"
"asiacup",2017,"New Zealand","Chinese Taipei",59,53,"2017-07-25","New Zealand"
"asiacup",2017,"Australia","Japan",83,74,"2017-07-25","Australia"
"asiacup",2017,"Korea","Philippines",91,63,"2017-07-25","Korea"
"asiacup",2017,"China","Korea",110,53,"2017-07-25","China"
"asiacup",2017,"Korea","New Zealand",64,49,"2017-07-27","Korea"
"asiacup",2017,"Australia","Korea",81,48,"2017-07-27","Australia"
"asiacup",2017,"China","Philippines",117,43,"2017-07-27","China"
"asiacup",2017,"Japan","Chinese Taipei",73,57,"2017-07-27","Japan"
"asiacup",2017,"New Zealand","Korea",82,61,"2017-07-28","New Zealand"
"asiacup",2017,"Chinese Taipei","Philippines",87,53,"2017-07-28","Chinese Taipei"
"asiacup",2017,"Australia","Korea",81,64,"2017-07-28","Australia"
"asiacup",2017,"Japan","China",74,71,"2017-07-28","Japan"
"asiacup",2017,"Philippines","Korea",78,63,"2017-07-29","Philippines"
"asiacup",2017,"Chinese Taipei","New Zealand",65,45,"2017-07-29","Chinese Taipei"
"asiacup",2017,"China","Korea",75,51,"2017-07-29","China"
"asiacup",2017,"Japan","Australia",74,73,"2017-07-29","Japan"
"asiacup",2019,"Australia","Philippines",123,57,"2019-09-24","Australia"
"asiacup",2019,"Korea","Chinese Taipei",48,44,"2019-09-24","Korea"
"asiacup",2019,"China","New Zealand",67,44,"2019-09-24","China"
"asiacup",2019,"Japan","India",103,27,"2019-09-24","Japan"
"asiacup",2019,"Australia","New Zealand",82,44,"2019-09-25","Australia"
"asiacup",2019,"Japan","Chinese Taipei",78,49,"2019-09-25","Japan"
"asiacup",2019,"China","Philippines",104,57,"2019-09-25","China"
"asiacup",2019,"Korea","India",97,62,"2019-09-25","Korea"
"asiacup",2019,"New Zealand","Philippines",75,57,"2019-09-26","New Zealand"
"asiacup",2019,"China","Australia",70,69,"2019-09-26","China"
"asiacup",2019,"Japan","Korea",102,61,"2019-09-26","Japan"
"asiacup",2019,"Chinese Taipei","India",87,58,"2019-09-26","Chinese Taipei"
"asiacup",2019,"Philippines","India",92,78,"2019-09-27","Philippines"
"asiacup",2019,"Korea","New Zealand",58,52,"2019-09-27","Korea"
"asiacup",2019,"Australia","Chinese Taipei",90,51,"2019-09-27","Australia"
"asiacup",2019,"New Zealand","Chinese Taipei",71,56,"2019-09-28","New Zealand"
"asiacup",2019,"Japan","Australia",76,64,"2019-09-28","Japan"
"asiacup",2019,"China","Korea",80,52,"2019-09-28","China"
"asiacup",2019,"Australia","Korea",98,62,"2019-09-29","Australia"
"asiacup",2019,"Japan","China",71,68,"2019-09-29","Japan"
"caribbean",2019,"Cuba","Bahamas",77,50,"2019-06-17","Cuba"
"caribbean",2019,"Dominican Republic","Surinam",90,49,"2019-06-18","Dominican Republic"
"caribbean",2019,"Bahamas","St.Vincent and the Grenadines",75,50,"2019-06-19","Bahamas"
"caribbean",2019,"Dominican Republic","Barbados",93,33,"2019-06-17","Dominican Republic"
"caribbean",2019,"Surinam","Guyana",73,52,"2019-06-17","Surinam"
"caribbean",2019,"Cuba","St.Vincent and the Grenadines",108,32,"2019-06-18","Cuba"
"caribbean",2019,"St.Vincent and the Grenadines","Surinam",63,51,"2019-06-20","St.Vincent and the Grenadines"
"caribbean",2019,"Cuba","Barbados",106,41,"2019-06-20","Cuba"
"caribbean",2019,"Dominican Republic","Bahamas",56,41,"2019-06-20","Dominican Republic"
"caribbean",2019,"Bahamas","Barbados",65,56,"2019-06-21","Bahamas"
"caribbean",2019,"Cuba","Dominican Republic",66,55,"2019-06-21","Cuba"
"centrobasket",2017,"Mexico","Bahamas",61,56,"2017-07-12","Mexico"
"centrobasket",2017,"Puerto Rico","Jamaica",90,44,"2017-07-12","Puerto Rico"
"centrobasket",2017,"US Virgin Islands","Guatemala",82,58,"2017-07-12","US Virgin Islands"
"centrobasket",2017,"Jamaica","Bahamas",64,48,"2017-07-13","Jamaica"
"centrobasket",2017,"Puerto Rico","Guatemala",87,55,"2017-07-13","Puerto Rico"
"centrobasket",2017,"US Virgin Islands","Mexico",63,55,"2017-07-13","US Virgin Islands"
"centrobasket",2017,"Jamaica","Guatemala",66,48,"2017-07-14","Jamaica"
"centrobasket",2017,"Mexico","Puerto Rico",64,58,"2017-07-14","Mexico"
"centrobasket",2017,"US Virgin Islands","Bahamas",63,56,"2017-07-14","US Virgin Islands"
"centrobasket",2017,"Mexico","Guatemala",61,44,"2017-07-15","Mexico"
"centrobasket",2017,"Puerto Rico","Bahamas",69,42,"2017-07-15","Puerto Rico"
"centrobasket",2017,"US Virgin Islands","Jamaica",60,40,"2017-07-15","US Virgin Islands"
"centrobasket",2017,"Bahamas","Guatemala",68,65,"2017-07-16","Bahamas"
"centrobasket",2017,"Mexico","Jamaica",74,43,"2017-07-16","Mexico"
"centrobasket",2017,"Puerto Rico","US Virgin Islands",60,58,"2017-07-16","Puerto Rico"
"centrobasket",2018,"Mexico","Costa Rica",77,42,"2018-08-20","Mexico"
"centrobasket",2018,"Puerto Rico","Bahamas",95,50,"2018-08-20","Puerto Rico"
"centrobasket",2018,"Dominican Republic","Guatemala",82,29,"2018-08-20","Dominican Republic"
"centrobasket",2018,"Mexico","Bahamas",74,52,"2018-08-21","Mexico"
"centrobasket",2018,"Puerto Rico","Costa Rica",113,20,"2018-08-21","Puerto Rico"
"centrobasket",2018,"Cuba","Dominican Republic",85,52,"2018-08-21","Cuba"
"centrobasket",2018,"Cuba","Guatemala",99,39,"2018-08-22","Cuba"
"centrobasket",2018,"Puerto Rico","Mexico",71,66,"2018-08-22","Puerto Rico"
"centrobasket",2018,"Bahamas","Costa Rica",60,57,"2018-08-22","Bahamas"
"centrobasket",2018,"Costa Rica","Guatemala",62,60,"2018-08-23","Costa Rica"
"centrobasket",2018,"Puerto Rico","Dominican Republic",72,56,"2018-08-23","Puerto Rico"
"centrobasket",2018,"Cuba","Mexico",86,80,"2018-08-23","Cuba"
"centrobasket",2018,"Bahamas","Costa Rica",55,49,"2018-08-24","Bahamas"
"centrobasket",2018,"Mexico","Dominican Republic",85,81,"2018-08-24","Mexico"
"centrobasket",2018,"Puerto Rico","Cuba",83,54,"2018-08-24","Puerto Rico"
"centrobasket",2021,"Puerto Rico","US Virgin Islands",73,69,"2021-03-24","Puerto Rico"
"centrobasket",2021,"El Salvador","Costa Rica",84,79,"2021-03-24","El Salvador"
"centrobasket",2021,"US Virgin Islands","Costa Rica",81,51,"2021-03-25","US Virgin Islands"
"centrobasket",2021,"Puerto Rico","Dominican Republic",99,90,"2021-03-25","Puerto Rico"
"centrobasket",2021,"US Virgin Islands","Dominican Republic",81,76,"2021-03-26","US Virgin Islands"
"centrobasket",2021,"Puerto Rico","El Salvador",75,33,"2021-03-26","Puerto Rico"
"centrobasket",2021,"Puerto Rico","Costa Rica",79,39,"2021-03-27","Puerto Rico"
"centrobasket",2021,"Dominican Republic","El Salvador",82,58,"2021-03-27","Dominican Republic"
"centrobasket",2021,"Dominican Republic","Costa Rica",68,63,"2021-03-28","Dominican Republic"
"centrobasket",2021,"US Virgin Islands","El Salvador",80,68,"2021-03-28","US Virgin Islands"
"eurobasket",2017,"Italy","Belarus",80,60,"2017-06-16","Italy"
"eurobasket",2017,"Belgium","Montenegro",66,64,"2017-06-16","Belgium"
"eurobasket",2017,"Turkey","Slovakia",69,58,"2017-06-16","Turkey"
"eurobasket",2017,"Russia","Latvia",71,59,"2017-06-16","Russia"
"eurobasket",2017,"Ukraine","Czech Republic",59,47,"2017-06-16","Ukraine"
"eurobasket",2017,"Greece","Serbia",69,60,"2017-06-16","Greece"
"eurobasket",2017,"Spain","Hungary",62,48,"2017-06-16","Spain"
"eurobasket",2017,"France","Slovenia",70,68,"2017-06-16","France"
"eurobasket",2017,"Slovakia","Belarus",68,59,"2017-06-17","Slovakia"
"eurobasket",2017,"Latvia","Montenegro",76,55,"2017-06-17","Latvia"
"eurobasket",2017,"Spain","Ukraine",76,54,"2017-06-17","Spain"
"eurobasket",2017,"Belgium","Russia",76,75,"2017-06-17","Belgium"
"eurobasket",2017,"Hungary","Czech Republic",74,70,"2017-06-17","Hungary"
"eurobasket",2017,"Slovenia","Greece",59,56,"2017-06-17","Slovenia"
"eurobasket",2017,"Turkey","Italy",54,53,"2017-06-17","Turkey"
"eurobasket",2017,"France","Serbia",73,57,"2017-06-17","France"
"eurobasket",2017,"Ukraine","Hungary",84,72,"2017-06-19","Ukraine"
"eurobasket",2017,"Belgium","Latvia",62,58,"2017-06-19","Belgium"
"eurobasket",2017,"Turkey","Belarus",88,74,"2017-06-19","Turkey"
"eurobasket",2017,"Serbia","Slovenia",88,69,"2017-06-19","Serbia"
"eurobasket",2017,"Czech Republic","Spain",67,63,"2017-06-19","Czech Republic"
"eurobasket",2017,"Russia","Montenegro",78,54,"2017-06-19","Russia"
"eurobasket",2017,"Italy","Slovakia",68,61,"2017-06-19","Italy"
"eurobasket",2017,"France","Greece",70,63,"2017-06-19","France"
"eurobasket",2017,"Slovakia","Ukraine",82,68,"2017-06-20","Slovakia"
"eurobasket",2017,"Latvia","Serbia",75,70,"2017-06-20","Latvia"
"eurobasket",2017,"Italy","Hungary",49,48,"2017-06-20","Italy"
"eurobasket",2017,"Greece","Russia",62,58,"2017-06-20","Greece"
"eurobasket",2017,"Belgium","Italy",79,66,"2017-06-22","Belgium"
"eurobasket",2017,"Greece","Turkey",84,55,"2017-06-22","Greece"
"eurobasket",2017,"Spain","Latvia",67,47,"2017-06-22","Spain"
"eurobasket",2017,"France","Slovakia",67,40,"2017-06-22","France"
"eurobasket",2017,"Latvia","Italy",68,67,"2017-06-24","Latvia"
"eurobasket",2017,"Turkey","Slovakia",72,56,"2017-06-24","Turkey"
"eurobasket",2017,"Spain","Belgium",68,52,"2017-06-24","Spain"
"eurobasket",2017,"France","Greece",77,55,"2017-06-24","France"
"eurobasket",2017,"Italy","Slovakia",71,54,"2017-06-25","Italy"
"eurobasket",2017,"Turkey","Latvia",72,63,"2017-06-25","Turkey"
"eurobasket",2017,"Belgium","Greece",78,45,"2017-06-25","Belgium"
"eurobasket",2017,"Spain","France",71,55,"2017-06-25","Spain"
"eurobasket",2019,"Sweden","Montenegro",67,51,"2019-06-27","Sweden"
"eurobasket",2019,"France","Czech Republic",74,61,"2019-06-27","France"
"eurobasket",2019,"Hungary","Slovenia",88,84,"2019-06-27","Hungary"
"eurobasket",2019,"Great Britain","Latvia",74,60,"2019-06-27","Great Britain"
"eurobasket",2019,"Belgium","Russia",67,54,"2019-06-27","Belgium"
"eurobasket",2019,"Italy","Turkey",57,54,"2019-06-27","Italy"
"eurobasket",2019,"Spain","Ukraine",95,77,"2019-06-27","Spain"
"eurobasket",2019,"Serbia","Belarus",55,53,"2019-06-27","Serbia"
"eurobasket",2019,"Czech Republic","Sweden",71,64,"2019-06-28","Czech Republic"
"eurobasket",2019,"France","Montenegro",88,53,"2019-06-28","France"
"eurobasket",2019,"Slovenia","Turkey",62,55,"2019-06-28","Slovenia"
"eurobasket",2019,"Latvia","Ukraine",82,74,"2019-06-28","Latvia"
"eurobasket",2019,"Belarus","Belgium",69,61,"2019-06-28","Belarus"
"eurobasket",2019,"Hungary","Italy",59,51,"2019-06-28","Hungary"
"eurobasket",2019,"Spain","Great Britain",67,59,"2019-06-28","Spain"
"eurobasket",2019,"Serbia","Russia",77,63,"2019-06-28","Serbia"
"eurobasket",2019,"Great Britain","Ukraine",68,54,"2019-06-30","Great Britain"
"eurobasket",2019,"Montenegro","Czech Republic",70,57,"2019-06-30","Montenegro"
"eurobasket",2019,"Turkey","Hungary",59,58,"2019-06-30","Turkey"
"eurobasket",2019,"Spain","Latvia",59,56,"2019-06-30","Spain"
"eurobasket",2019,"Russia","Belarus",76,62,"2019-06-30","Russia"
"eurobasket",2019,"Italy","Slovenia",75,57,"2019-06-30","Italy"
"eurobasket",2019,"France","Sweden",71,65,"2019-06-30","France"
"eurobasket",2019,"Serbia","Belgium",70,66,"2019-06-30","Serbia"
"eurobasket",2019,"Sweden","Latvia",77,62,"2019-07-01","Sweden"
"eurobasket",2019,"Great Britain","Montenegro",92,71,"2019-07-01","Great Britain"
"eurobasket",2019,"Belgium","Slovenia",72,67,"2019-07-02","Belgium"
"eurobasket",2019,"Russia","Italy",63,54,"2019-07-02","Russia"
"eurobasket",2019,"Great Britain","Hungary",62,59,"2019-07-04","Great Britain"
"eurobasket",2019,"Spain","Russia",78,54,"2019-07-04","Spain"
"eurobasket",2019,"France","Belgium",84,80,"2019-07-04","France"
"eurobasket",2019,"Serbia","Sweden",87,49,"2019-07-04","Serbia"
"eurobasket",2019,"Belgium","Hungary",72,56,"2019-07-06","Belgium"
"eurobasket",2019,"Sweden","Russia",57,52,"2019-07-06","Sweden"
"eurobasket",2019,"France","Great Britain",63,56,"2019-07-06","France"
"eurobasket",2019,"Spain","Serbia",71,66,"2019-07-06","Spain"
"eurobasket",2019,"Serbia","Great Britain",81,55,"2019-07-07","Serbia"
"eurobasket",2019,"Spain","France",86,66,"2019-07-07","Spain"
"eurobasket",2021,"Sweden","Slovakia",74,57,"2021-06-17","Sweden"
"eurobasket",2021,"Russia","Czech Republic",73,69,"2021-06-17","Russia"
"eurobasket",2021,"Montenegro","Greece",70,55,"2021-06-17","Montenegro"
"eurobasket",2021,"Bosnia and Herzegovina","Belgium",70,55,"2021-06-17","Bosnia and Herzegovina"
"eurobasket",2021,"Serbia","Italy",86,81,"2021-06-17","Serbia"
"eurobasket",2021,"Slovenia","Turkey",72,47,"2021-06-17","Slovenia"
"eurobasket",2021,"France","Croatia",105,63,"2021-06-17","France"
"eurobasket",2021,"Belarus","Spain",53,51,"2021-06-17","Belarus"
"eurobasket",2021,"Serbia","Greece",85,51,"2021-06-18","Serbia"
"eurobasket",2021,"Bosnia and Herzegovina","Turkey",64,54,"2021-06-18","Bosnia and Herzegovina"
"eurobasket",2021,"Italy","Montenegro",77,61,"2021-06-18","Italy"
"eurobasket",2021,"Belgium","Slovenia",92,57,"2021-06-18","Belgium"
"eurobasket",2021,"Slovakia","Belarus",58,54,"2021-06-18","Slovakia"
"eurobasket",2021,"Russia","Croatia",73,62,"2021-06-18","Russia"
"eurobasket",2021,"France","Czech Republic",71,51,"2021-06-18","France"
"eurobasket",2021,"Spain","Sweden",76,55,"2021-06-18","Spain"
